filename,question,answer,datetime
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/APN管理/APN定时器属性/set_apnidletime.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：设置APN空闲上下文定时器配置，""APN名称""为""HUAWEI.COM""，不继承默认空闲定时器开关状态及时长。","START
SET APNIDLETIME:APN=""HUAWEI.COM"",INHERIT=NO;
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/UPF选择管理/位置区域绑定本地优选名称/add_locbindarea.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：#UPF位置区：locality2；UPF服务区名称：area2","START
ADD LOCBINDAREA: LOCALITY=""locality2"", AREANAME=""area2"";
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/接口管理/服务化接口管理/注册与服务发现/本地NRF功能管理/SCP信息管理/set_scppara.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：将本端网元的服务发现策略设置为'LOCAL_FIRST'，所属的SCPDOMAIN设置为'domain2'，SCPDOMAIN开关设置为'ON'，并设定SCP服务发现周期为30分钟。","SET SCPPARA: DISCPOLICY=LOCAL_FIRST, SCPDOMAIN=domain2, SCPDOMAINSW=ON, DISCPERIOD=30;",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/接口管理/PFCP接口管理/UP管理/UP故障管理/N3接口故障RAN组管理/mod_faultrangrp.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：RAN组名：group1，UP链路故障处理模式：直接隔离","START
MOD FAULTRANGRP: RANGRPNAME=""group1"", UPFAULTMODE=ISOLATION;
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/接口管理/PFCP接口管理/UP管理/UP过滤组绑定管理/add_upfilter.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：NFINSTANCENAME=UPF2, DNN=example.net, FILTERGPID=2;","START
ADD UPFILTER: NFINSTANCENAME=""UPF2"", DNN=""example.net"", FILTERGPID=2;
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/虚拟APN映射管理/基于对接IP地址的虚拟APN映射管理/虚拟APN映射的服务节点组/add_srvnodegroup.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：服务节点组名称：test_group","START
ADD SRVNODEGROUP:GROUPNAME=""test_group"";
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/接入控制/DN网络DNS/NBNS选择管理/DNS选择管理/缺省DNS/set_globaldns.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：配置系统的DNS属性，主DNS服务器IPv4地址为192.168.1.1，备DNS服务器IPv4地址为192.168.1.2，主DNS服务器IPv6地址为2001:db8:0:1::1，备DNS服务器IPv6地址为2001:db8:0:2::2。","START
SET GLOBALDNS: MDNSSERVERV4=""192.168.1.1"", BDNSSERVERV4=""192.168.1.2"", MDNSSERVERV6=""2001:db8:0:1::1"", BDNSSERVERV6=""2001:db8:0:2::2"";
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/NSSF业务及策略管理/NSSF功能开关配置/mod_nssfcfgsubsw.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：移动国家码为248、移动网号为37、按签约NSSAI分配configuredNssai开关为关闭。","START
MOD NSSFCFGSUBSW: MCC=""248"", MNC=""37"", CFGWITHSUBSW=FUNC_OFF;
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/接入控制/缺省服务节点PLMN/mod_dftsrvnodeplmn.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：结点类型：PGW；PLMN标识：46001","START
MOD DFTSRVNODEPLMN:NODETYPE=PGW,PLMNCODE=""46001"";
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/接口管理/服务化接口管理/注册与服务发现/本地NRF功能管理/对端NF通配策略管理/mod_pnfwildcard.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：运营商B需要修改NFTYPE为NfAMF的对端NF的通配策略，将GPSICACHESWITCH修改为ON。","MOD PNFWILDCARD: NFTYPE=NfAMF, GPSICACHESWITCH=ON;",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/接口管理/服务化接口管理/注册与服务发现/服务支持的切片实例管理/add_sliceinstinfo.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：NSIINFO为“NSSI-C-001-HDBNJ-NSSMF-01-B-HW”，NSSIID为“NSSI-C-001-HDBNJ-NSSMF-01-B-HW01”","ADD SLICEINSTINFO:NSIINFO=NSSI-C-001-HDBNJ-NSSMF-01-B-HW,NSSIID=NSSI-C-001-HDBNJ-NSSMF-01-B-HW01;",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/QoS/5GC QoS配置/5GC允许接入的ARPs/rmv_smfallowedarps.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：用户QOS索引：2","START
%%RMV SMFALLOWEDARPS: QOSINDEX=2;%%
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/UE地址管理/UE地址池管理/基于UPF地址分配开关配置/lst_ipallocbyupfglbsw.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：查询基于UPF地址分配的全局开关的状态。","START
LST IPALLOCBYUPFGLBSW:;
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/平台服务管理/操作维护/性能统计管理/AMF性能对象管理/mod_perfngtaigroup.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：#步骤区域组索引：1024；TACGROUP名称：128-NEWGRP；TAC区域段：123456-123456","START
ADD TACGROUPINNSSF:INDEX=1024, TACGROUPNAME=""128-NEWGRP"", TACSTART=""123456"", TACEND=""123456"";
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/UPF选择管理/用户绑定UPF/add_imsibindup.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：增加用户识别码号段“222222”到“222229”在5G的UP绑定关系：主锚点绑定UP1，辅锚点绑定UP2，N3锚点绑定UP3。","START
ADD IMSIBINDUP: IMSI=""222222"", ENDIMSI=""222229"", ACCESSTYPE=NG, PAUPNFINSTNAME=""UP1"", AUXUPNFINSTNAME=""UP2"", IMUPNFINSTNAME=""UP3"";
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/接口管理/服务化接口管理/注册与服务发现/NRF管理/NRF配置管理/NRF实例配置管理/rmv_nrf.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：需要删除名称为NRF_Instance_1的NRF的对应信息。","START
RMV NRF: NRFINSTANCENAME=""NRF_Instance_1"";
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/M2M/全局Non-IP配置/set_nonipfunc.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：#步骤Non-IP功能配置：设置Non-IP功能开关为ENABLE","START
SET NONIPFUNC: NONIPSWITCH=ENABLE;
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/Proxy SGW管理/Proxy SGW-C接入列表/rmv_proxysgwacclist.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：用户范围为MSISDN_PRE，前缀为138的Proxy SGW-C接入列表记录","START
RMV PROXYSGWACCLIST: SUBRANGE=MSISDN_PRE, PREFIX=""138"";
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/本地分流管理/APN粒度2B2C双DNN控制/mod_apnmultidnnctrl.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：#修改2B2C漫游双DNN特性APN级的相关功能控制；APN名称：HUAWEI.COM；在EPS是否先获取策略：DISABLE","START
MOD APNMULTICTRL: APN=HUAWEI.COM,GETPOLICYFIRST=DISABLE;
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/UE地址管理/UE地址池管理/基于位置区地址分配开关配置/set_ipallocbylocglbsw.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：SWITCH = ENABLE","START
SET IPALLOCBYLOCGLBSW: SWITCH=ENABLE;
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/QoS/扩展QCI功能/扩展QCI和标准QCI映射/add_extendqcimap.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：EXTENDQCI=135, STANDARDQCI=5, PRIORITY=5","START
ADD EXTENDQCIMAP:EXTENDQCI=135,STANDARDQCI=5,PRIORITY=5;
END",09021920
UNC_20.9.5/OM参考/命令/UNC MML命令/业务服务管理/会话管理/接入管理/QoS/一键通/APN的一键通配置/add_apnpttfunc.txt,"你是系统工程师，需要根据参数写业务脚本

根据参数，严格按例子中业务脚本格式，以START开始END结束，写业务脚本
参数：参数：APN名称：HUAWEI.NET；LTE一键通功能开关：ENABLE","START
ADD APNPTTFUNC: APN=""HUAWEI.NET"", LTEPTTSWITCH=ENABLE;
END",09021920
