filename,question,answer,datetime
UNC_20.9.5/网络运维/故障处理/UNC告警处理/平台告警/100222.txt,"请你根据问题现象描述进行分类，类别如下：
[""系统稳定性问题"", ""硬件故障"", ""软件故障"", ""配置错误"", ""网络连接问题"", ""其他""]
以JSON格式输出{""类别"":""""},用户的问题是:vHA ETCD集群在首次实例化时，由于部分实例存在故障，导致集群以半数以上实例状态拉起并上报vHA ETCD集群可靠性不足告警。","{""类别"":""系统稳定性问题""}",09021920
UNC_20.9.5/网络运维/故障处理/UNC告警处理/平台告警/232398850.txt,"请你根据问题现象描述进行分类，类别如下：
[""访问白名单地址卡顿/掉线/异常""]、[""客户特定诉求""]、[""能访问白名单外地址（不在白名单内还能访问）""]、[""特定IP/域名/地址访问问题""]、[""无法上网或网速慢/卡顿/掉线/隧道或策略等问题""]、[""信号差/弱/不稳定""]、[""其他""]
以JSON格式输出{""类别"":""""},用户的问题是:ALM-232398850 自动化配置地址池耗尽。告警解释：自动化配置地址池耗尽时产生告警。告警属性：告警ID为232398850，告警级别为重要告警，不可自动清除。告警参数：服务名称为产生告警的服务名称，地址池类型为产生告警的地址池类型，服务实例名称为上报告警的服务实例名称。对系统的影响：某些接口无法自动配置IP地址，导致接口无法完整承载业务。可能原因：自动化配置时地址池耗尽。","{""类别"":""无法上网或网速慢/卡顿/掉线/隧道或策略等问题""}",09021920
UNC_20.9.5/网络运维/故障处理/UNC告警处理/平台告警/221257751.txt,"请你根据问题现象描述进行分类，类别如下：
【进程启动异常】、【进程运行异常】、【RU性能影响】、【基本业务受影响】、【告警自动清除】、【告警参数异常】、【需要技术支持】
以JSON格式输出{""类别"":""""},用户的问题是:ALM-221257751 进程故障告警：当进程初次启动，90秒内未运行正常，或连续启动失败三次；或进程运行异常，60秒内未恢复正常，或连续恢复失败三次时，系统产生此告警。进程故障可能影响RU的性能和RU承载的基本业务。","{""类别"":""进程运行异常""}",09021920
UNC_20.9.5/网络运维/故障处理/UNC告警处理/平台告警/136585218.txt,"请你根据问题现象描述进行分类，类别如下：
[""系统性能问题"", ""登录认证问题"", ""网络连接问题"", ""硬件故障问题"", ""软件故障问题"", ""配置错误问题"", ""安全问题"", ""其他""]
以JSON格式输出{""类别"":""""},用户的问题是:当管理用户5分钟内登录网元失败次数达到30次或30次以上时，系统产生此告警；具体表现为SSH登录频繁失败。","{""类别"":""登录认证问题""}",09021920
UNC_20.9.5/网络部署/业务专题/5G Core 4/5G互操作解决方案/常见故障案例/zh-cn_trbcase_0235776270.txt,"请你根据问题现象描述进行分类，类别如下：
[""无法上网或网速慢/卡顿/掉线/隧道或策略等问题""]
以JSON格式输出{""类别"":""""},用户的问题是:5G终端从LTE接入时，MME未选择到SMF+PGW-C的融合网关，或者配置SMF DNS解析数据但DNS查询仍旧提示失败。","{""类别"":""无法上网或网速慢/卡顿/掉线/隧道或策略等问题""}",09021920
UNC_20.9.5/网络运维/故障处理/UNC故障案例/4G/5G互操作/zh-cn_trbcase_0235812923.txt,"请你根据问题现象描述进行分类，类别如下：
【访问白名单地址卡顿/掉线/异常】、【客户特定诉求】、【能访问白名单外地址（不在白名单内还能访问）】、【特定IP/域名/地址访问问题】、【无法上网或网速慢/卡顿/掉线/隧道或策略等问题】、【信号差/弱/不稳定】、【其他】
以JSON格式输出{""类别"":""""},用户的问题是:5G用户在4G接入时，SMF+PGW-C侧拒绝用户接入，拒绝的原因为System failure。","{""类别"":""无法上网或网速慢/卡顿/掉线/隧道或策略等问题""}",09021920
UNC_20.9.5/网络运维/故障处理/UNC告警处理/业务告警/NCG/82026.txt,"请你根据问题现象描述进行分类，类别如下：
【话单处理速率超限】、【License资源不足】、【系统性能影响】、【配置与实际需求不符】、【系统升级需求】、【技术支持请求】、【其他】
以JSON格式输出{""类别"":""""},用户的问题是:NCG网元的话单处理速率在最近的检测周期内超过了License申请的最大话单处理速率的阈值，导致了ALM-82026告警。这可能是因为当前配置的话单处理速率已经达到License资源项中最大的话单处理速率。","{""类别"":""话单处理速率超限""}",09021920
UNC_20.9.5/快速入门/协议与流程/5G Core信令分析/服务化接口协议/服务化接口公共数据类型/5G Network相关/zh-cn_topic_0000001136758649.txt,"请你根据问题现象描述进行分类，类别如下：
[""访问白名单地址卡顿/掉线/异常""]、[""客户特定诉求""]、[""能访问白名单外地址（不在白名单内还能访问""]、[""特定IP/域名/地址访问问题""]、[""无法上网或网速慢/卡顿/掉线/隧道或策略等问题""]、[""信号差/弱/不稳定""]、[""其他""]
以JSON格式输出{""类别"":""""},用户的问题是:根据ServiceAreaRestriction的定义，当限制类型为“允许区域”时，表示只有在指定的区域范围内才能使用服务；而当限制类型为“不允许区域”时，则表示除了指定区域之外，其他地方都可以使用服务。假设一个客户反馈说他们的物联网设备在某些区域无法正常使用，但这些区域实际上应该是在允许的区域范围内，这可能是因为ServiceAreaRestriction设置错误导致的。","{""类别"":""访问白名单地址卡顿/掉线/异常""}",09021920
UNC_20.9.5/网络部署/业务专题/5G Core 4/5G互操作解决方案/常见故障案例/zh-cn_trbcase_0235671364.txt,"请你根据问题现象描述进行分类，类别如下：
【无法上网或网速慢/卡顿/掉线/隧道或策略等问题】,【特定IP/域名/地址访问问题】,【信号差/弱/不稳定】,【其他】
以JSON格式输出{""类别"":""""},用户的问题是:5G用户从4G切换至5G时，MME回复handover preparation fail，携带radioNetwork：ho-target-not-allowed。","{""类别"":""无法上网或网速慢/卡顿/掉线/隧道或策略等问题""}",09021920
UNC_20.9.5/网络部署/业务专题/5G Core NRF解决方案/常见故障案例/zh-cn_trbcase_0232730167.txt,"请你根据问题现象描述进行分类，类别如下：
【NRF订阅通知发送失败】【配置错误】【网络通信问题】【服务化接口问题】【日志收集与技术支持】【其他】
以JSON格式输出{""类别"":""""},用户的问题是:NF1通过NRF订阅NF2的更新情况且订阅成功，NF2通过更新触发订阅通知，NF1未收到对应的订阅通知。","{""类别"":""NRF订阅通知发送失败""}",09021920
