filename,question,answer,datetime
UNC_20.9.5/网络运维/故障处理/UNC告警处理/平台告警/82413.txt,"你的任务是将以下处理步骤转换成step的形式，返回json格式的列表
现在开始回答问题，将以下处理步骤转换成json格式，注意只回答json，不要回答其它内容：1. 在“MML命令行”窗口上执行：如下命令，查看该隧道组下是否配置隧道。[**DSP LBTN**](../MML/Document/dsp_lbtn.html):;     * 是 => 步骤 4     * 否 => 步骤 2
2. 在“MML命令行”窗口上执行：如下命令，为该隧道组配置对应的隧道。**ADD GRDCIINFO**
3. 等待10秒，在告警台上查看该隧道组告警是否恢复。     * 是 => 处理结束。     * 否 => 步骤 4
4. 在“MML命令行”窗口上执行：如下命令，查询该隧道组下的所有隧道的“隧道状态”，是否隧道状态均为异常。[**DSP LBTN**](../MML/Document/dsp_lbtn.html):;     * 是 => 步骤 5     * 否 => 步骤 8
5. 在本端网元OM Portal上创建CSLB的IP跟踪，查看本端网元是否向对端网元发送隧道心跳信息。     * 是 => 步骤 6     * 否 => 步骤 9
6. 在对端网元OM Portal上创建CSLB的IP跟踪，查看对端网元是否收到本端网元发送隧道心跳信息。     * 是 => 步骤 9     * 否 => 步骤 7
7. 联系设备维护人员，检查并解决本端和对端网元之间底层链路异常问题，等待10秒。
8. 在告警台上查看该隧道组告警是否恢复。     * 是 => 处理结束。     * 否 => 步骤 9
9. 请联系华为技术支持处理。","[{""step"": 1,""description"": ""在“MML命令行”窗口上执行：如下命令，查看该隧道组下是否配置隧道。[**DSP LBTN**](../MML/Document/dsp_lbtn.html):;"",""choice"": ""是 => 步骤 4\n否 => 步骤 2""},{""step"": 2,""description"": ""在“MML命令行”窗口上执行：如下命令，为该隧道组配置对应的隧道。**ADD GRDCIINFO**"",""choice"": """"},{""step"": 3,""description"": ""等待10秒，在告警台上查看该隧道组告警是否恢复。"",""choice"": ""是 => 处理结束。\n否 => 步骤 4""},{""step"": 4,""description"": ""在“MML命令行”窗口上执行：如下命令，查询该隧道组下的所有隧道的“隧道状态”，是否隧道状态均为异常。[**DSP LBTN**](../MML/Document/dsp_lbtn.html):;"",""choice"": ""是 => 步骤 5\n否 => 步骤 8""},{""step"": 5,""description"": ""在本端网元OM Portal上创建CSLB的IP跟踪，查看本端网元是否向对端网元发送隧道心跳信息。"",""choice"": ""是 => 步骤 6\n否 => 步骤 9""},{""step"": 6,""description"": ""在对端网元OM Portal上创建CSLB的IP跟踪，查看对端网元是否收到本端网元发送隧道心跳信息。"",""choice"": ""是 => 步骤 9\n否 => 步骤 7""},{""step"": 7,""description"": ""联系设备维护人员，检查并解决本端和对端网元之间底层链路异常问题，等待10秒。"",""choice"": """"},{""step"": 8,""description"": ""在告警台上查看该隧道组告警是否恢复。"",""choice"": ""是 => 处理结束。\n否 => 步骤 9""},{""step"": 9,""description"": ""请联系华为技术支持处理。"",""choice"": """"}]",09021920
UNC_20.9.5/网络运维/日常维护/UNC基础运维操作/创建消息跟踪/创建接口跟踪/zh-cn_opi_0000001380807844.txt,"你的任务是将以下处理步骤转换成step的形式，返回json格式的列表
现在开始回答问题，将以下处理步骤转换成json格式，注意只回答json，不要回答其它内容：1. 输入SGsR接口跟踪任务参数：在左侧跟踪导航树界面选择“UNC”->“接口跟踪”->“SGsR接口跟踪”后，单击“添加”，进入SGsR接口跟踪任务创建的界面，依次输入“任务名称”、“跟踪时长”和“定位条件”参数。2. 单击“确定”，启动跟踪任务。","[
    {
        ""step"": 1,
        ""description"": ""输入SGsR接口跟踪任务参数：在左侧跟踪导航树界面选择“UNC”->“接口跟踪”->“SGsR接口跟踪”后，单击“添加”，进入SGsR接口跟踪任务创建的界面，依次输入“任务名称”、「跟踪时长」和「定位条件」参数。
        ""choice"": """"
    },
    {
        ""step"": 2,
        ""description"": ""单击“确定”，启动跟踪任务。"",
        ""choice"": """"
    }
]",09021920
UNC_20.9.5/网络运维/日常维护/UNC例行维护/例行维护操作指导/季度维护/zh-cn_opi_0232536112.txt,"你的任务是将以下处理步骤转换成step的形式，返回json格式的列表
现在开始回答问题，将以下处理步骤转换成json格式，注意只回答json，不要回答其它内容：1. 通过**[EXP MML](../MML/Document/exp_mml.html)** 命令导出系统配置数据文件，并与运营商规划数据进行核对。
预期结果：实际配置与运营商规划一致。
2. 如果不一致，请对不一致的配置数据进行逐一确认和处理。","[
    {
        ""step"": 1,
        ""description"": ""通过**[EXP MML](../MML/Document/exp_mml.html)** 命令导出系统配置数据文件，并与运营商规划数据进行核对。"",
        ""choice"": ""预期结果：实际配置与运营商规划一致。""
    },
    {
        ""step"": 2,
        ""description"": ""如果不一致，请对不一致的配置数据进行逐一确认和处理。"",
        ""choice"": """"
    }
]",09021920
UNC_20.9.5/网络运维/故障处理/UNC告警处理/平台告警/135200.txt,"你的任务是将以下处理步骤转换成step的形式，返回json格式的列表
现在开始回答问题，将以下处理步骤转换成json格式，注意只回答json，不要回答其它内容：1. 查看活动告警。
    1.1 选择“监控分析 > 告警管理 > 活动告警”。
    1.2 单击该告警前的![](figure/zh-cn_image_0209574837.png)展开详情，查看其定位信息和附加信息。
2. 选择“应用管理 > 应用License”，选择“定位信息”中，应用ID对应的应用名称。
3. 查看激活信息里面的License文件到期日期，判断其有效期是否小于90天。
    * 是 => 步骤 4
    * 否 => 步骤 5
4. 在License文件管理页面上传新的License文件，单击License管理页面中的“更新”按钮，更新并激活新的License文件，等待5分钟后，查看告警是否恢复。
    * 是 => 处理完毕。
    * 否 => 步骤 5
5. 收集告警以及日志信息，提交技术支持处理。
    5.1 收集告警信息：选择“监控分析 > 告警管理 > 活动告警”，按照告警ID搜索出本告警后，单击“导出”导出本告警信息。
    5.2 收集日志信息：各场景收集步骤如图2所示，收集从产生告警前一天到目前的License的日志。","[
    {
        ""step"": 1,
        ""description"": ""查看活动告警。"",
        ""choice"": """"
    },
    {
        ""step"": 1.1,
        ""description"": ""选择“监控分析 > 告警管理 > 活动告警”。"",
        ""choice"": """"
    },
    {
        ""step"": 1.2,
        ""description"": ""单击该告警前的![](figure/zh-cn_image_0209574837.png)展开详情，查看其定位信息和附加信息。"",
        ""choice"": """"
    },
    {
        ""step"": 2,
        ""description"": ""选择“应用管理 > 应用License”，选择“定位信息”中，应用ID对应的应用名称。"",
        ""choice"": """"
    },
    {
        ""step"": 3,
        ""description"": ""查看激活信息里面的License文件到期日期，判断其有效期是否小于90天。"",
        ""choice"": ""是 => 步骤 4\n否 => 步骤 5""
    },
    {
        ""step"": 4,
        ""description"": ""在License文件管理页面上传新的License文件，单击License管理页面中的“更新”按钮，更新并激活新的License文件，等待5分钟后，查看告警是否恢复。"",
        ""choice"": ""是 => 处理完毕。\n否 => 步骤 5""
    },
    {
        ""step"": 5,
        ""description"": ""收集告警以及日志信息，提交技术支持处理。"",
        ""choice"": """"
    },
    {
        ""step"": 5.1,
        ""description"": ""收集告警信息：选择“监控分析 > 告警管理 > 活动告警”，按照告警ID搜索出本告警后，单击“导出”导出本告警信息。"",
        ""choice"": """"
    },
    {
        ""step"": 5.2,
        ""description"": ""收集日志信息：各场景收集步骤如图2所示，收集从产生告警前一天到目前的License的日志。"",
        ""choice"": """"
    }
]",09021920
UNC_20.9.5/网络运维/日常维护/UNC基础运维操作/创建消息跟踪/跟踪免维护功能/zh-cn_topic_0000001101405598.txt,"你的任务是将以下处理步骤转换成step的形式，返回json格式的列表
现在开始回答问题，将以下处理步骤转换成json格式，注意只回答json，不要回答其它内容：1. 建立用户跟踪，查看对应的接口跟踪或者用户跟踪中是否上报EMS-ACCT消息。2. 打开EMS-ACCT消息，根据Easy-Maintenance-System消息中字段获取对应的信息，例如[图1 Easy-Maintenance-System消息](zh-cn_topic_0000001146375027.html#ZH-CN_TOPIC_0000001146375027__fig1088795810494)。**图1** Easy-Maintenance-System消息示例![](../images/zh-cn_image_0000001102056758.png)**表1** Easy-Maintenance-System消息字段解释字段 | 取值说明---|---module | radiusacctMaintenance-Message： Service-Maintenance-Message | code：错误码。cause：原因描述。suggestion：根据处理建议进行操作。content：acct-service-content，标识用户信息。3. 根据原因和处理建议进行处理，处理完毕后，重新拨测。* 问题解决，关闭接口或者用户跟踪，处理完毕。* 否则联系华为技术支持。","[
    {
        ""step"": 1,
        ""description"": ""建立用户跟踪，查看对应的接口跟踪或者用户跟踪中是否上报EMS-ACCT消息。"",
        ""choice"": """"
    },
    {
        ""step"": 2,
        ""description"": ""打开EMS-ACCT消息，根据Easy-Maintenance-System消息中字段获取对应的信息，例如[图1 Easy-Maintenance-System消息](zh-cn_topic_0000001146375027.html#ZH-CN_TOPIC_0000001146375027__fig1088795810494)。**图1** Easy-Maintenance-System消息示例![](../images/zh-cn_image_0000001102056758.png)**表1** Easy-Maintenance-System消息字段解释字段 | 取值说明---|---module | radiusacctMaintenance-Message： Service-Maintenance-Message | code：错误码。cause：原因描述。suggestion：根据处理建议进行操作。content：acct-service-content，标识用户信息。"",
        ""choice"": """"
    },
    {
        ""step"": 3,
        ""description"": ""根据原因和处理建议进行处理，处理完毕后，重新拨测。"",
        ""choice"": ""问题解决，关闭接口或者用户跟踪，处理完毕。否则联系华为技术支持。""
    }
]",09021920
UNC_20.9.5/网络运维/故障处理/UNC告警处理/平台告警/137953287.txt,"你的任务是将以下处理步骤转换成step的形式，返回json格式的列表
现在开始回答问题，将以下处理步骤转换成json格式，注意只回答json，不要回答其它内容：1. 执行[**DSP RMSTATISTICS**](../MML/Document/dsp_rmstatistics.html)命令查看IPv6各协议的路由数量。使用[**LST IPV6THRESHOLD**](../MML/Document/lst_ipv6threshold.html)命令查看是否是[**SET IPV6THRESHOLD**](../MML/Document/set_ipv6threshold.html)命令配置的告警阈值过小。
* 是，请执行[**SET IPV6THRESHOLD**](../MML/Document/set_ipv6threshold.html)命令配置合理的告警阈值，确认告警是否恢复。
  * 是，则处理完毕。
  * 否，请执行2。
* 否，请执行2。
2. 请收集告警信息和配置信息，并联系技术支持工程师。","[
    {
        ""step"": 1,
        ""description"": ""执行[**DSP RMSTATISTICS**](../MML/Document/dsp_rmstatistics.html)命令查看IPv6各协议的路由数量。使用[**LST IPV6THRESHOLD**](../MML/Document/lst_ipv6threshold.html)命令查看是否是[**SET IPV6THRESHOLD**](../MML/Document/set_ipv6threshold.html)命令配置的告警阈值过小。"",
        ""choice"": """"
    },
    {
        ""step"": 1.1,
        ""description"": ""是，请执行[**SET IPV6THRESHOLD**](../MML/Document/set_ipv6threshold.html)命令配置合理的告警阈值，确认告警是否恢复。"",
        ""choice"": ""是，则处理完毕。否，请执行2。""
    },
    {
        ""step"": 1.2,
        ""description"": ""否，请执行2。"",
        ""choice"": """"
    },
    {
        ""step"": 2,
        ""description"": ""请收集告警信息和配置信息，并联系技术支持工程师。"",
        ""choice"": """"
    }
]",09021920
UNC_20.9.5/网络运维/日常维护/UNC基础运维操作/获取日志/通过OM Portal获取不同类型日志信息/管理服务日志/systemInfo.txt,"你的任务是将以下处理步骤转换成step的形式，返回json格式的列表
现在开始回答问题，将以下处理步骤转换成json格式，注意只回答json，不要回答其它内容：1. 选择“监控分析 > 运行日志”，在左侧导航栏中选择“OS日志收集”。2. 创建日志收集任务。

**图1** 创建节点日志收集任务

**表1** 日志类型参数含义
日志类型 | 含义
---|---
Message | 系统运行日志。
OS info | 记录系统操作系统的指标信息。
wtmp | 二进制文件，记录每个用户的登录次数和持续时间等信息。
containerlogs | 记录容器日志。
kbox | 提供一种记录内核信息的机制，在系统异常发生时，记录下内核的重要信息，并把这些信息保存到非易失存储介质中。维护人员可通过这些信息，得到发生异常时的具体情况，进而分析发生异常的原因，支撑问题定位。
cspbootLog | Cspboot服务日志。
cronLog | 定时任务日志。
sysmonitor | 系统监控日志。
openvswitch | openvswitch日志。
ovsmonitorLog | 记录Open vSwitch网桥上端口丢包的统计信息。
authlog | 记录系统用户登录日志
containerenginelogs | 记录容器引擎的守护进程日志

收集时长最大支持7天。

收集过程中，可单击“停止收集”停止收集任务。

收集完成后，单击“日志下载地址”右侧的压缩包名称，将结果保存至本地。","[
    {
        ""step"": 1,
        ""description"": ""选择“监控分析 > 运行日志”，在左侧导航栏中选择“OS日志收集”。"",
        ""choice"": """"
    },
    {
        ""step"": 2,
        ""description"": ""创建日志收集任务。"",
        ""choice"": """"
    }
]",09021920
UNC_20.9.5/网络运维/日常维护/UNC例行维护/维护操作系统安全/操作系统安全维护/系统层安全/系统服务维护/zh-cn_topic_0000001175394334.txt,"你的任务是将以下处理步骤转换成step的形式，返回json格式的列表
现在开始回答问题，将以下处理步骤转换成json格式，注意只回答json，不要回答其它内容：1. 用系统命令“netstat -an”查看当前系统中开放的所有端口。2. 参考通信矩阵中的端口列表，检查当前是否有多余开放的端口。3. 若存在多余端口，确认是否有必要开放，若无必要，则应关闭。","[{
    ""step"": 1,
    ""description"": ""用系统命令“netstat -an”查看当前系统中开放的所有端口。"",
    ""choice"": """"
}, {
    ""step"": 2,
    ""description"": ""参考通信矩阵中的端口列表，检查当前是否有多余开放的端口。"",
    ""choice"": """"
}, {
    ""step"": 3,
    ""description"": ""若存在多余端口，确认是否有必要开放，若无必要，则应关闭。"",
    ""choice"": """"
}]",09021920
UNC_20.9.5/网络运维/日常维护/UNC例行维护/例行维护操作指导/月度维护/zh-cn_opi_0232105240.txt,"你的任务是将以下处理步骤转换成step的形式，返回json格式的列表
现在开始回答问题，将以下处理步骤转换成json格式，注意只回答json，不要回答其它内容：1. 通过执行**[**DSP ACSPATCHINFO**](../MML/Document/dsp_acspatchinfo.html)** 命令查看当前系统中已有补丁的状态以及生效时间。预期结果：“补丁状态”为“运行”。2. 如果检查结果不符合预期，请查看是否存在补丁相关告警并处理。3. 如果告警处理完毕后，运行状态仍然不符合预期，请收集相关信息并联系华为技术支持处理。","[
    {
        ""step"": 1,
        ""description"": ""通过执行**[**DSP ACSPATCHINFO**](../MML/Document/dsp_acspatchinfo.html)** 命令查看当前系统中已有补丁的状态以及生效时间。"",
        ""choice"": ""预期结果：\""补丁状态\""为\""运行\""。""
    },
    {
        ""step"": 2,
        ""description"": ""如果检查结果不符合预期，请查看是否存在补丁相关告警并处理。"",
        ""choice"": """"
    },
    {
        ""step"": 3,
        ""description"": ""如果告警处理完毕后，运行状态仍然不符合预期，请收集相关信息并联系华为技术支持处理。"",
        ""choice"": """"
    }
]",09021920
UNC_20.9.5/网络运维/故障处理/UNC告警处理/平台告警/135906.txt,"你的任务是将以下处理步骤转换成step的形式，返回json格式的列表
现在开始回答问题，将以下处理步骤转换成json格式，注意只回答json，不要回答其它内容：1. 单击该告警前的![](figure/zh-cn_image_0000001371461357.png)展开详情，查看其“定位信息”和“附加信息”，并依据告警原因进行处理：2. 处理外部时钟源配置的证书不满足安全要求。1. 首页，选择“应用管理>MML”2. 使用[**MOD NTPSVR**](../MML/Document/dsp_node.html)将已存在的NTP服务器密钥类型修改为SHA256。3. 单击“执行”，确认NTP服务器是否修改成功。若修改成功，界面会显示“操作成功”提示。* 是 => 步骤 3* 否 => 步骤 43. 在活动告警页面，确认此告警是否已清除。* 是 => 结束* 否 => 步骤 44. 请联系华为技术支持工程师。","[
    {
        ""step"": 1,
        ""description"": ""单击该告警前的![](figure/zh-cn_image_0000001371461357.png)展开详情，查看其“定位信息”和“附加信息”，并依据告警原因进行处理："",
        ""choice"": """"
    },
    {
        ""step"": 2,
        ""description"": ""处理外部时钟源配置的证书不满足安全要求。"",
        ""choice"": """"
    },
    {
        ""step"": 2.1,
        ""description"": ""首页，选择“应用管理>MML”。"",
        ""choice"": """"
    },
    {
        ""step"": 2.2,
        ""description"": ""使用[**MOD NTPSVR**](../MML/Document/dsp_node.html)将已存在的NTP服务器密钥类型修改为SHA256。"",
        ""choice"": """"
    },
    {
        ""step"": 2.3,
        ""description"": ""单击“执行”，确认NTP服务器是否修改成功。若修改成功，界面会显示“操作成功”提示。"",
        ""choice"": ""是 => 步骤 3\n否 => 步骤 4""
    },
    {
        ""step"": 3,
        ""description"": ""在活动告警页面，确认此告警是否已清除。"",
        ""choice"": ""是 => 结束\n否 => 步骤 4""
    },
    {
        ""step"": 4,
        ""description"": ""请联系华为技术支持工程师。"",
        ""choice"": """"
    }
]",09021920
