能力,任务,题目,模型答案,知识点类型,知识点标题,知识点内容,知识点路径
任务规划,告警检查,"你是核心网运维工程师，你的任务是判断用户问题是否和告警有关

用户问题：用户反馈在操作华为AMF系统过载控制功能时，触发了各场景的消息过载，但没有看到对应的流控告警，这是怎么回事？

若用户问题和告警无关，输出{""告警问题"":""否""}，若有关，输出{""告警问题"":""是"",""网元名称"":"""",""告警ID"":"""",""告警名称"":""""}","{""告警问题"":""是"",""网元名称"":""华为AMF系统"",""告警ID"":"""",""告警名称"":""流控告警""}",处理步骤,详细描述了如何操作华为的AMF系统过载控制功能，包括查看各流控参数与规划是否一致，触发各场景的消息过载，查看是否上报对应流控告警等步骤。,"操作步骤
1. 进入“MML命令行-UNC”窗口。
2. 通过如下命令查看各流控参数与规划是否一致。（列表省略）
预期结果：参数取值和规划一致，执行3。否则，参考[激活系统过载控制功能（适用于AMF）](unc_2000_feature_om_Overload_Control_amf.html)调整配置。
3. 触发各场景的消息过载，查看是否上报对应流控告警。（列表省略）",网络部署/特性部署/UNC特性指南/流控功能/WSFD-010801 系统过载控制功能/系统过载控制功能（适用于AMF）/unc_2000_feature_om_overload_control_amf_01.html
任务规划,告警检查,"你是核心网运维工程师，你的任务是判断用户问题是否和告警有关

用户问题：你是核心网运维工程师，在查看告警时发现Trigger未上报的问题。你猜测可能是CHF没有下发对应的Trigger类型，也有可能是SMF本地没有配置对应的Trigger类型，甚至可能是Trigger的生效原则错误。你觉得这个问题和告警有关系吗？

若用户问题和告警无关，输出{""告警问题"":""否""}，若有关，输出{""告警问题"":""是"",""网元名称"":"""",""告警ID"":"""",""告警名称"":""""}","{""告警问题"":""是"",""网元名称"":"""",""告警ID"":"""",""告警名称"":""Trigger未上报""}",处理步骤,详细描述了如何处理Trigger未上报的问题，包括检查CHF是否下发对应的Trigger类型，检查SMF本地是否配置对应的Trigger类型，检查Trigger的生效原则是否错误，以及联系华为技术支持。,处理步骤：1.检查CHF是否下发对应的Trigger类型。2.检查SMF本地是否配置对应的Trigger类型。3.检查Trigger的生效原则是否错误。4.请收集日志信息和配置信息，并联系华为技术支持处理。,网络部署/业务专题/5G Core 计费解决方案/计费解决方案概述/N40接口融合计费/常见故障案例/zh-cn_trbcase_0280259369.html
任务规划,告警检查,"你是核心网运维工程师，你的任务是判断用户问题是否和告警有关

用户问题：你是核心网运维工程师，你的任务是判断用户问题是否和告警有关。用户问题：“我们在配置告警参数时，设置了NCG长时间未接收到话单告警的报警检测周期，但是在超过这个时间，NCG未接收到链路上的话单时，为什么没有发送此告警？”若用户问题和告警无关，输出{{""告警问题"":""否""}}，若有关，输出{{""告警问题"":""是"",""网元名称"":"""",""告警ID"":"""",""告警名称"":""""}}

若用户问题和告警无关，输出{""告警问题"":""否""}，若有关，输出{""告警问题"":""是"",""网元名称"":"""",""告警ID"":"""",""告警名称"":""""}","{""告警问题"":""是"",""网元名称"":""NCG"",""告警ID"":""ALM-82021"",""告警名称"":""NCG长时间未接收到话单""}",概念介绍,介绍设置未接收到话单告警参数的参数说明，包括告警开关和告警检测周期两个参数。,"参数说明：
参数标识 | 参数名称 | 参数说明 
---|---|--- 
SWITCHSTATE | 告警开关 | 该参数用于设置是否支持[**ALM-82021 NCG长时间未接收到话单**](../../Alarms/82021.html)告警上报，“OFF(关闭)”为禁止上报此告警，“ON(开启)”为支持上报此告警。数据来源：全网规划 取值范围：枚举类型。
TIMEOUT | 告警检测周期（分钟） | 该参数用于设置NCG的[**ALM-82021 NCG长时间未接收到话单**](../../Alarms/82021.html)告警的检测周期。超过这个时间，NCG未接收到链路上的话单时，则发送此告警。数据来源：全网规划 取值范围：整数类型，取值范围为1～1440。",OM参考/命令/UNC MML命令/业务服务管理/NCG业务及策略管理/计费管理/业务系统管理/维护管理/未接收到话单告警参数/set_nocdralm.html
任务规划,告警检查,"你是核心网运维工程师，你的任务是判断用户问题是否和告警有关

用户问题：你是核心网运维工程师，你发现在监控系统中，ALM-82021 NCG长时间未接收到话单的告警开关已经设置为ON，但是却长时间未接收到话单，你能否判定这是一个告警问题？

若用户问题和告警无关，输出{""告警问题"":""否""}，若有关，输出{""告警问题"":""是"",""网元名称"":"""",""告警ID"":"""",""告警名称"":""""}","{""告警问题"":""是"",""网元名称"":""NCG"",""告警ID"":""ALM-82021"",""告警名称"":""长时间未接收到话单""}",具体案例,提供一个设置未接收到话单告警参数的具体使用实例，该实例中设置ALM-82021 NCG长时间未接收到话单的告警开关为ON，告警检测周期为默认值5。,"使用实例：
设置[**ALM-82021 NCG长时间未接收到话单**](../../Alarms/82021.html)的“告警开关”为“ON(开启)”，“告警检测周期（分钟）”为默认值“5”：

SET NOCDRALM: SWITCHSTATE=ON, TIMEOUT=5;",OM参考/命令/UNC MML命令/业务服务管理/NCG业务及策略管理/计费管理/业务系统管理/维护管理/未接收到话单告警参数/set_nocdralm.html
任务规划,告警检查,"你是核心网运维工程师，你的任务是判断用户问题是否和告警有关

用户问题：用户在进行核心网运维的过程中，发现在某种特定场景下，UNC回复给eNodeB的Error Indication消息中并未携带Criticality Diagnostics信元，想知道这是否涉及到了BYTE_EX118 BIT1的告警？如果是，请提供相关的告警信息。

若用户问题和告警无关，输出{""告警问题"":""否""}，若有关，输出{""告警问题"":""是"",""网元名称"":"""",""告警ID"":"""",""告警名称"":""""}","{""告警问题"":""否""}",概念介绍,该知识点介绍了BYTE_EX118 BIT1软参的功能，它用于控制UNC在特定场景下向eNodeB回复的消息中是否携带Criticality Diagnostics信元，以及该软参的取值和生效方式等信息。,"本软参用于控制UNC在不支持Part of S1 interface类型的Reset流程时，向eNodeB回复的Error Indication消息中是否携带Criticality Diagnostics信元。
取值范围：0~1
0：不携带Criticality Diagnostics信元。
1：携带Criticality Diagnostics信元。
推荐值：0
系统初始设置值：0
UNC收到eNodeB发送的Part of S1 interface类型的Reset消息。
修改参数值后立即生效。",OM参考/软件参数/UNC软件参数/业务软件参数/软件参数（SGSN/MME）/参数说明/S1接口管理/byte_ex_118_bit1_0.html
语义理解,信息提取,"你是核心网运维工程师，你的任务是根据指令从提供的输入中提取信息

输入：
【查询定位服务权限配置命令】
OPTYPE：ADD
IPV4ADDRESS：192.168.1.1
IPV6ADDRESS：2001:0db8:85a3:0000:0000:8a2e:0370:7334
USRGRPID：5GUGRP01
指令：
请提取定位服务操作类型、IPV4地址、IPV6地址、用户群组标识共4个信息

所有信息的默认值都为空字符串，以json格式输出","{
""OPTYPE"": ""ADD"",
""IPV4ADDRESS"": ""192.168.1.1"",
""IPV6ADDRESS"": ""2001:0db8:85a3:0000:0000:8a2e:0370:7334"",
""USRGRPID"": ""5GUGRP01""
}",概念介绍,查询定位服务权限配置命令参数包括定位服务操作类型（OPTYPE）、IPV4地址（IPV4ADDRESS）、IPV6地址（IPV6ADDRESS）和用户群组标识（USRGRPID）。,"参数标识 | 参数名称 | 参数说明
---|---|---
OPTYPE | 定位服务操作类型 | 可选必选说明：可选参数 参数含义：该参数用于指定定位服务的服务操作类型。 数据来源：全网规划
IPV4ADDRESS | IPV4地址 | 可选必选说明：可选参数 参数含义：该参数用于指定定位服务消费者的IPV4地址。 数据来源：全网规划
IPV6ADDRESS | IPV6地址 | 可选必选说明：可选参数 参数含义：该参数用于指定定位服务消费者的IPV6地址。 数据来源：全网规划
USRGRPID | 用户群组标识 | 可选必选说明：可选参数 参数含义：该参数用于指定5G用户群标识。 数据来源：本端规划",OM参考/命令/UNC MML命令/业务服务管理/5G接入业务管理/5G定位服务管理/定位服务权限配置管理/lst_lcspermitcfg.html
语义理解,信息提取,"你是核心网运维工程师，你的任务是根据指令从提供的输入中提取信息

输入：
本软参用于配置HTTP自愈功能的参数。BIT1~BIT8：用于控制HTTP自愈周期的时长，单位为10分钟。BIT9~BIT16：用于控制HTTP进程检测故障的故障链路百分比阈值。BIT17~BIT24：用于控制HTTP进程检测故障的故障链路数阈值。BIT25~BIT32：保留。一个自愈周期内仅允许进行一次HTTP自愈。当一个HTTP进程上故障的链路百分比大于等于故障链路百分比阈值，且故障的链路数大于等于故障链路数阈值时，该HTTP进程向HTTP控制节点上报故障；否则不上报故障。
指令：
请提取BIT1~BIT8用途，BIT9~BIT16用途，BIT17~BIT24用途，BIT25~BIT32用途，自愈周期规则，故障上报条件共6个信息

所有信息的默认值都为空字符串，以json格式输出","{
""BIT1~BIT8用途"": ""用于控制HTTP自愈周期的时长，单位为10分钟"",
""BIT9~BIT16用途"": ""用于控制HTTP进程检测故障的故障链路百分比阈值"",
""BIT17~BIT24用途"": ""用于控制HTTP进程检测故障的故障链路数阈值"",
""BIT25~BIT32用途"": ""保留"",
""自愈周期规则"": ""一个自愈周期内仅允许进行一次HTTP自愈"",
""故障上报条件"": ""当一个HTTP进程上故障的链路百分比大于等于故障链路百分比阈值，且故障的链路数大于等于故障链路数阈值时，该HTTP进程向HTTP控制节点上报故障；否则不上报故障""
}",概念介绍,介绍DWORD1635 控制HTTP自愈功能参数的含义，包括BIT1~BIT32的具体含义和使用情况。,"本软参用于配置HTTP自愈功能的参数。

* BIT1~BIT8：用于控制HTTP自愈周期的时长，单位为10分钟。
* BIT9~BIT16：用于控制HTTP进程检测故障的故障链路百分比阈值。
* BIT17~BIT24：用于控制HTTP进程检测故障的故障链路数阈值。
* BIT25~BIT32：保留。


* 一个自愈周期内仅允许进行一次HTTP自愈。
* 当一个HTTP进程上故障的链路百分比大于等于故障链路百分比阈值，且故障的链路数大于等于故障链路数阈值时，该HTTP进程向HTTP控制节点上报故障；否则不上报故障。",OM参考/软件参数/UNC软件参数/平台软件参数/HTTP软参/dword_1635.html
语义理解,信息提取,"你是核心网运维工程师，你的任务是根据指令从提供的输入中提取信息

输入：
【故障现象】在进行5G到4G网络切换时，观察到Forward Relocation Response消息中的关键信元出现异常。【故障地点】北京市海淀区xxxxx【是否首次使用】否【是否机卡绑定/贴片卡】是【终端设备】华为5G设备【客户夜间是否配合处理】否【故障号码信息】经HSS核实，故障号码144xxxx406269对应IMSI：46xxxx354014471状态正常，卡类型为USIM卡，开通2、3、4G上网功能，限制2、3G接入，签约APN为CMMTMJSXZ，附着时间：CS：2024-01-18 13:51，EPC：2024-01-18 16:07。【客户联系方式】119xxxx8160【客户经理联系方式】125xxxx9257 22516000100000000000000000000125 人联网禁止
指令：
请提取故障现象、故障地点、故障号码、故障APN列表、IMSI列表共5个信息

所有信息的默认值都为空字符串，以json格式输出","输出：
{
  ""故障现象"": ""在进行5G到4G网络切换时，观察到Forward Relocation Response消息中的关键信元出现异常"",
  ""故障地点"": ""北京市海淀区xxxxx"",
  ""故障号码"": ""144xxxx406269"",
  ""故障APN列表"": [""CMMTMJSXZ""],
  ""IMSI列表"": [""46xxxx354014471""]
}",表格,列举了在基于PSHO的5G到4G网络切换流程中，Handover Required消息、Forward Relocation Response消息以及Handover Command消息中的关键信元及其解释。,"表1 Handover Required消息中的关键信元关键信元 | 信元解释
---|---
| 指示NG RAN侧触发的是5GS到EPS网络的切换。
| 指示RAN侧拒绝IMS语音业务的原因值。
| 如果是IMS语音业务导致的切换，指示targetID需为Global eNB ID。
... 表3 Handover Command消息的关键信元关键信元 | 信元解释
---|---
| 指示NG RAN侧触发的是5GS到EPS网络的切换。
| 指示Qos Flow标识QFI为1。
| 指示目标无线给源无线的信息，即E-UTRAN给NG RAN的信息。",快速入门/协议与流程/5G Core信令分析/业务流程/Vo5G/VoNR基本呼叫/5G到4G的切换流程/zh-cn_topic_0000001310845581.html
语义理解,信息提取,"你是核心网运维工程师，你的任务是根据指令从提供的输入中提取信息

输入：
适用NF：AMF、SMF、SGW-C、PGW-C、P-GW、S-GW 

含义：该软参用于控制GTPC路径发布核查周期 

取值说明：BIT2-0, BIT3-0:核查周期2min。BIT2-1, BIT3-0:核查周期20min。BIT2-0, BIT3-1:核查周期120min。BIT2-1, BIT3-1:关闭核查。系统初始设置值：0 

应用场景：该软参用于控制GTPC路径发布核查周期，当单次GTPC路径数量过多时，可适当将核查周期调大。 

关联软参：无。 

关联特性：WSFD-010600 路径管理。 

生效方式：无。 

配置举例：如果需要关闭GTPC路径发布核查功能。具体的操作如下：

1. 在“MML命令行 - UNC”窗口中，执行LST COMMONSOFTPARAOFBIT命令查询软参DWORD205中BIT2和BIT3的取值。

2. 若查询结果不为期望值，则需要修改。在“MML命令行 - UNC”窗口中，执行SET COMMONSOFTPARAOFBIT命令设置软参DWORD205中BIT2和BIT3的取值。
指令：
请提取软参的含义、取值说明、应用场景、关联特性、配置举例共5个信息

所有信息的默认值都为空字符串，以json格式输出","{
""含义"": ""该软参用于控制GTPC路径发布核查周期"",
""取值说明"": ""BIT2-0, BIT3-0:核查周期2min。BIT2-1, BIT3-0:核查周期20min。BIT2-0, BIT3-1:核查周期120min。BIT2-1, BIT3-1:关闭核查。系统初始设置值：0"",
""应用场景"": ""该软参用于控制GTPC路径发布核查周期，当单次GTPC路径数量过多时，可适当将核查周期调大。"",
""关联特性"": ""WSFD-010600 路径管理。"",
""配置举例"": ""如果需要关闭GTPC路径发布核查功能。具体的操作如下：\n\n1. 在“MML命令行 - UNC”窗口中，执行LST COMMONSOFTPARAOFBIT命令查询软参DWORD205中BIT2和BIT3的取值。\n\n2. 若查询结果不为期望值，则需要修改。在“MML命令行 - UNC”窗口中，执行SET COMMONSOFTPARAOFBIT命令设置软参DWORD205中BIT2和BIT3的取值。""
}",概念介绍,介绍了控制GTPC路径发布核查周期的软参，包括软参的适用NF、含义、取值说明、应用场景、关联软参、关联特性、生效方式以及配置举例。,"适用NF：AMF、SMF、SGW-C、PGW-C、P-GW、S-GW 

含义：该软参用于控制GTPC路径发布核查周期 

取值说明：BIT2-0, BIT3-0:核查周期2min。BIT2-1, BIT3-0:核查周期20min。BIT2-0, BIT3-1:核查周期120min。BIT2-1, BIT3-1:关闭核查。系统初始设置值：0 

应用场景：该软参用于控制GTPC路径发布核查周期，当单次GTPC路径数量过多时，可适当将核查周期调大。 

关联软参：无。 

关联特性：WSFD-010600 路径管理。 

生效方式：无。 

配置举例：如果需要关闭GTPC路径发布核查功能。具体的操作如下：

1. 在“MML命令行 - UNC”窗口中，执行LST COMMONSOFTPARAOFBIT命令查询软参DWORD205中BIT2和BIT3的取值。

2. 若查询结果不为期望值，则需要修改。在“MML命令行 - UNC”窗口中，执行SET COMMONSOFTPARAOFBIT命令设置软参DWORD205中BIT2和BIT3的取值。",OM参考/软件参数/UNC软件参数/业务软件参数/软件参数（5G业务公共）/路径管理/dword_0205_bit_0002.html
语义理解,信息提取,"你是核心网运维工程师，你的任务是根据指令从提供的输入中提取信息

输入：
【故障现象】我们的网络设备最近遭遇了ARP攻击，具体表现为ARP欺骗攻击和ARP泛洪攻击。我们使用的是UNC的设备，已经实现了一组ARP安全特性，但仍然无法防止这种攻击。【故障地点】北京市朝阳区【是否首次遭遇】否【网络设备】UNC设备【故障开始时间】2022-03-01 10:00:00【客户夜间是否配合处理】是【客户联系方式】135xxxx0091【客户经理联系方式】未知
指令：
请提取故障现象、故障地点、网络设备、故障开始时间、客户联系方式共5个信息

所有信息的默认值都为空字符串，以json格式输出","{
""故障现象"": ""我们的网络设备最近遭遇了ARP攻击，具体表现为ARP欺骗攻击和ARP泛洪攻击。我们使用的是UNC的设备，已经实现了一组ARP安全特性，但仍然无法防止这种攻击。"",
""故障地点"": ""北京市朝阳区"",
""网络设备"": ""UNC设备"",
""故障开始时间"": ""2022-03-01 10:00:00"",
""客户联系方式"": ""135xxxx0091""
}",概念介绍,介绍了ARP攻击防御的主要概念和UNC实现了一组ARP安全特性的情况。,ARP协议是二层网络运行的基础协议之一，其具有简单、易用的优点，但缺乏安全机制，容易被攻击发起者利用而增加网络安全风险。ARP攻击类型包括两类：ARP欺骗攻击和ARP泛洪攻击。UNC实现了一组ARP安全特性，提供了多种技术对ARP攻击进行防范、检测和解决，能够防范针对ARP协议的攻击，有效避免ARP攻击对网络安全性的危害，保证网络设备和通信网络的安全性。,快速入门/产品安全/UNC安全原理/网络层安全/防攻击/zh-cn_topic_0173122090.html
